R3,-16.07,-11.23,180.00,0,CPF0201D7K68C1_0201
R4,-16.33,-9.52,180.00,0,ERA-1AEB3401C_0201
R5,-11.34,-11.92,180.00,10k,CPF0201D7K68C1_0201
R7,8.48,-11.79,180.00,10k,CPF0201D7K68C1_0201
R8,-2.47,-11.67,180.00,10k,CPF0201D7K68C1_0201
R9,-1.30,6.86,270.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,17.35,-4.14,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-5.53,3.85,0.00,2.2,ERA-1AEB3401C_0201
SJ1,-3.29,4.30,180.00,0,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,8.67,15.89,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-10.80,9.23,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-9.04,7.18,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,20.43,11.77,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,19.24,-12.09,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,19.14,-9.38,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,16.90,15.81,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,21.16,6.43,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,21.07,9.09,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,14.01,15.92,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,11.28,15.86,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,19.41,14.37,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-8.52,9.51,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-9.89,16.09,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,12.59,-1.03,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-4.99,8.40,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,16.58,4.46,180.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,6.42,1.26,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
